
=== Session started 2026-07-11T12:12:18.227274 (192.168.1.168:23) ===
[12:12:18.230] [dev] eDrum telnet console
[12:12:20.635] [Config]
[12:12:20.643]   [0] en=1 type=2 note=38 ch=10 z2note=40 z2ch=10 thresh=20 sens=3250 scan=3 mask=57 ratio=40 chokethresh=50 choke=1 curve=0 retrig=30 seeds=-1 builds=-1
[12:12:20.643]   [1] en=0 type=1 note=38 ch=10 z2note=40 z2ch=10 thresh=20 sens=800 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=4 retrig=50 seeds=-1 builds=-1
[12:12:20.644]   [2] en=0 type=1 note=42 ch=10 z2note=46 z2ch=10 thresh=20 sens=800 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=4 retrig=50 seeds=-1 builds=-1
[12:12:20.657]   [3] en=1 type=2 note=36 ch=10 z2note=53 z2ch=10 thresh=149 sens=152 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=0 retrig=0 seeds=-1 builds=-1
[12:12:20.661]   [4] en=1 type=1 note=44 ch=10 z2note=44 z2ch=10 thresh=20 sens=800 scan=3 mask=80 ratio=40 chokethresh=50 choke=1 curve=4 retrig=50 seeds=-1 builds=-1
[12:12:26.113] [HIT] t=7145176 i=0 note=38 vel=48 raw=48 truepeak=1244 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=640.0 dchead=17.4 spikerej=193 rcstate=2 lcp=1244 refrise=0
[12:12:26.118] [SysEx TX] F0 00 7D 00 05 03 00 00 30 30 F7
[12:12:26.121] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=1908 rim_peak=80 decision=HEAD samples=200
[12:12:26.124] T,H,R
[12:12:26.720] 142,1385,31
[12:12:26.723] 143,1255,67
[12:12:26.725] 144,1173,80
[12:12:26.728] 145,1117,47
[12:12:26.730] 146,1083,35
[12:12:26.733] 147,1084,19
[12:12:26.736] 148,1094,52
[12:12:26.738] 149,1046,44
[12:12:26.748] 150,990,53
[12:12:26.749] 151,949,48
[12:12:26.749] 152,778,10
[12:12:26.753] 153,641,14
[12:12:26.763] 154,545,33
[12:12:26.763] 155,409,27
[12:12:26.764] 156,382,29
[12:12:26.764] 157,372,9
[12:12:26.768] 158,333,24
[12:12:26.770] 159,311,31
[12:12:26.773] 160,316,47
[12:12:26.776] 161,365,24
[12:12:26.786] 162,489,4
[12:12:26.787] 163,657,17
[12:12:26.787] 164,798,7
[12:12:26.788] 165,916,67
[12:12:26.818] 166,957,70
[12:12:26.818] 167,978,38
[12:12:26.818] 168,946,12
[12:12:26.823] 169,921,0
[12:12:26.826] 170,889,38
[12:12:26.831] 171,878,47
[12:12:26.831] 172,858,45
[12:12:26.831] 173,815,50
[12:12:26.836] 174,824,14
[12:12:26.838] 175,858,33
[12:12:26.841] 176,880,23
[12:12:26.844] 177,901,29
[12:12:26.846] 178,910,26
[12:12:26.853] 179,883,14
[12:12:26.853] 180,779,26
[12:12:26.854] 181,606,20
[12:12:26.857] 182,437,38
[12:12:26.861] 183,316,2
[12:12:26.863] 184,135,1
[12:12:26.867] 185,0,18
[12:12:26.870] 186,0,9
[12:12:26.870] 187,0,18
[12:12:26.876] 188,0,0
[12:12:26.880] 189,1,16
[12:12:26.880] 190,125,12
[12:12:26.881] 191,288,26
[12:12:26.891] 192,470,31
[12:12:26.892] 193,597,14
[12:12:26.892] 194,673,23
[12:12:26.900] 195,713,0
[12:12:26.933] 196,749,23
[12:12:26.933] 197,780,33
[12:12:26.933] 198,771,26
[12:12:26.933] 199,714,37
[12:12:26.938] [RCEXIT] t=7145993 i=0 exit=2 lcp=243 dur=0ms margin=30
[12:12:26.944] [HIT] t=7146025 i=0 note=38 vel=26 raw=26 truepeak=667 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=-40.0 dchead=39.9 spikerej=193 rcstate=2 lcp=667 refrise=1
[12:12:26.954] [SysEx TX] F0 00 7D 00 05 03 00 00 1A 1A F7
[12:12:26.957] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=1908 rim_peak=80 decision=HEAD samples=200
[12:12:26.960] T,H,R
[12:12:26.963] 0,980,2
[12:12:26.966] 1,996,0
[12:12:26.969] 2,998,10
[12:12:26.972] 3,957,13
[12:12:26.974] 4,923,34
[12:12:26.977] 5,941,36
[12:12:26.980] 6,1054,72
[12:12:26.983] 7,1236,59
[12:12:26.992] 8,1441,35
[12:12:26.993] 9,1662,41
[12:12:26.993] 10,1830,15
[12:12:26.994] 11,1908,58
[12:12:27.003] 12,1877,57
[12:12:27.017] 13,1745,54
[12:12:27.018] 14,1550,61
[12:12:27.023] 15,1385,31
[12:12:27.023] 16,1255,67
[12:12:27.030] 17,1173,80
[12:12:27.030] 18,1117,47
[12:12:27.031] 19,1083,35
[12:12:27.047] 20,1084,19
[12:12:27.047] 21,1094,52
[12:12:27.048] 22,1046,44
[12:12:27.049] 23,990,53
[12:12:27.054] 24,949,48
[12:12:27.061] 25,778,10
[12:12:27.061] 26,641,14
[12:12:27.063] 27,545,33
[12:12:27.066] 28,409,27
[12:12:27.068] 29,382,29
[12:12:27.071] 30,372,9
[12:12:27.074] 31,333,24
[12:12:27.076] 32,311,31
[12:12:27.080] 33,316,47
[12:12:27.096] 34,365,24
[12:12:27.096] 35,489,4
[12:12:27.097] 36,657,17
[12:12:27.098] 37,798,7
[12:12:27.114] 38,916,67
[12:12:27.117] 39,957,70
[12:12:27.120] 40,978,38
[12:12:27.125] 41,946,12
[12:12:27.125] 42,921,0
[12:12:27.129] 43,889,38
[12:12:27.133] 44,878,47
[12:12:27.134] 45,858,45
[12:12:27.136] 46,815,50
[12:12:27.138] 47,824,14
[12:12:27.141] 48,858,33
[12:12:27.147] 49,880,23
[12:12:27.147] 50,901,29
[12:12:27.149] 51,910,26
[12:12:27.151] 52,883,14
[12:12:27.156] 53,779,26
[12:12:27.158] 54,606,20
[12:12:27.160] 55,437,38
[12:12:27.164] 56,316,2
[12:12:27.166] 57,135,1
[12:12:27.169] 58,0,18
[12:12:27.172] 59,0,9
[12:12:27.187] 60,0,18
[12:12:27.187] 61,0,0
[12:12:27.187] 62,1,16
[12:12:27.187] 63,125,12
[12:12:27.198] 64,288,26
[12:12:27.198] 65,470,31
[12:12:27.199] 66,597,14
[12:12:27.201] 67,673,23
[12:12:27.214] 68,713,0
[12:12:27.215] 69,749,23
[12:12:27.216] 70,780,33
[12:12:27.217] 71,771,26
[12:12:27.221] 72,714,37
[12:12:27.224] 73,662,6
[12:12:27.227] 74,627,23
[12:12:27.229] 75,630,18
[12:12:27.233] 76,670,19
[12:12:27.235] 77,729,31
[12:12:27.237] 78,775,15
[12:12:27.241] 79,808,26
[12:12:27.243] 80,806,7
[12:12:27.246] 81,719,1
[12:12:27.248] 82,537,19
[12:12:27.251] 83,384,1
[12:12:27.255] 84,270,7
[12:12:27.257] 85,108,0
[12:12:27.259] 86,77,2
[12:12:27.265] 87,187,15
[12:12:27.266] 88,212,0
[12:12:27.268] 89,237,10
[12:12:27.278] 90,268,0
[12:12:27.278] 91,245,0
[12:12:27.278] 92,158,0
[12:12:27.280] 93,80,0
[12:12:27.284] 94,31,16
[12:12:27.286] 95,0,0
[12:12:27.290] 96,0,2
[12:12:27.292] 97,0,5
[12:12:27.300] 98,86,5
[12:12:27.301] 99,238,2
[12:12:27.301] 100,391,5
[12:12:27.320] 101,507,16
[12:12:27.321] 102,598,7
[12:12:27.326] 103,634,14
[12:12:27.328] 104,665,21
[12:12:27.331] 105,681,14
[12:12:27.336] 106,693,11
[12:12:27.337] 107,669,8
[12:12:27.338] 108,634,9
[12:12:27.342] 109,544,10
[12:12:27.344] 110,494,2
[12:12:27.347] 111,438,0
[12:12:27.351] 112,398,0
[12:12:27.370] 113,386,17
[12:12:27.370] 114,339,2
[12:12:27.370] 115,278,19
[12:12:27.370] 116,220,1
[12:12:27.375] 117,31,0
[12:12:27.377] 118,0,0
[12:12:27.380] 119,0,0
[12:12:27.383] 120,0,0
[12:12:27.386] 121,0,4
[12:12:27.389] 122,0,2
[12:12:27.392] 123,23,9
[12:12:27.403] 124,110,0
[12:12:27.404] 125,169,0
[12:12:27.404] 126,264,0
[12:12:27.404] 127,367,0
[12:12:27.422] 128,401,0
[12:12:27.425] 129,449,5
[12:12:27.428] 130,494,20
[12:12:27.431] 131,529,6
[12:12:27.434] 132,526,5
[12:12:27.440] 133,505,0
[12:12:27.441] 134,482,1
[12:12:27.442] 135,488,11
[12:12:27.444] 136,495,4
[12:12:27.447] 137,487,15
[12:12:27.450] 138,462,0
[12:12:27.453] 139,443,0
[12:12:27.456] 140,430,5
[12:12:27.463] 141,400,0
[12:12:27.463] 142,398,11
[12:12:27.464] 143,403,0
[12:12:27.466] 144,429,0
[12:12:27.470] 145,428,8
[12:12:27.473] 146,387,0
[12:12:27.474] 147,294,5
[12:12:27.477] 148,186,2
[12:12:27.480] 149,75,0
[12:12:27.483] 150,0,0
[12:12:27.486] 151,0,0
[12:12:27.493] 152,0,0
[12:12:27.493] 153,0,1
[12:12:27.494] 154,0,0
[12:12:27.504] 155,41,0
[12:12:27.504] 156,149,1
[12:12:27.505] 157,252,0
[12:12:27.506] 158,296,2
[12:12:27.525] 159,315,0
[12:12:27.525] 160,358,0
[12:12:27.526] 161,378,0
[12:12:27.527] 162,436,0
[12:12:27.531] 163,477,8
[12:12:27.534] 164,528,15
[12:12:27.544] 165,595,9
[12:12:27.544] 166,627,1
[12:12:27.544] 167,622,0
[12:12:27.545] 168,616,0
[12:12:27.549] 169,601,5
[12:12:27.552] 170,574,4
[12:12:27.555] 171,552,9
[12:12:27.571] 172,506,2
[12:12:27.571] 173,391,9
[12:12:27.571] 174,301,5
[12:12:27.571] 175,222,0
[12:12:27.577] 176,123,0
[12:12:27.579] 177,0,0
[12:12:27.582] 178,0,0
[12:12:27.584] 179,0,0
[12:12:27.587] 180,0,5
[12:12:27.590] 181,4,0
[12:12:27.593] 182,59,0
[12:12:27.595] 183,115,1
[12:12:27.598] 184,174,0
[12:12:27.606] 185,202,0
[12:12:27.606] 186,196,0
[12:12:27.607] 187,167,5
[12:12:27.608] 188,126,2
[12:12:27.627] 189,100,4
[12:12:27.627] 190,80,18
[12:12:27.627] 191,116,0
[12:12:27.627] 192,172,0
[12:12:27.633] 193,235,1
[12:12:27.636] 194,299,9
[12:12:27.639] 195,348,9
[12:12:27.644] 196,409,2
[12:12:27.644] 197,445,3
[12:12:27.646] 198,473,2
[12:12:27.649] 199,468,10
[12:12:27.652] [RCEXIT] t=7146733 i=0 exit=0 lcp=45 dur=1ms margin=30
[12:12:27.661] [HIT] t=7146742 i=0 note=38 vel=1 raw=1 truepeak=44 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=-32.0 dchead=35.0 spikerej=193 rcstate=2 lcp=44 refrise=0
[12:12:27.671] [SysEx TX] F0 00 7D 00 05 03 00 00 01 01 F7
[12:12:27.674] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=105 rim_peak=18 decision=HEAD samples=200
[12:12:27.677] T,H,R
[12:12:27.679] 0,0,2
[12:12:27.681] 1,0,0
[12:12:27.685] 2,1,8
[12:12:27.687] 3,10,7
[12:12:27.690] 4,29,5
[12:12:27.693] 5,54,4
[12:12:27.698] 6,76,3
[12:12:27.699] 7,97,7
[12:12:27.708] 8,105,1
[12:12:27.708] 9,95,5
[12:12:27.709] 10,103,8
[12:12:27.709] 11,102,8
[12:12:27.716] 12,99,3
[12:12:27.719] 13,97,7
[12:12:27.720] 14,91,2
[12:12:27.729] 15,76,7
[12:12:27.730] 16,70,6
[12:12:27.731] 17,57,0
[12:12:27.732] 18,50,0
[12:12:27.735] 19,27,7
[12:12:27.740] 20,10,2
[12:12:27.741] 21,2,5
[12:12:27.746] 22,0,3
[12:12:27.747] 23,0,2
[12:12:27.748] 24,0,2
[12:12:27.751] 25,0,0
[12:12:27.754] 26,0,1
[12:12:27.758] 27,0,1
[12:12:27.760] 28,0,0
[12:12:27.763] 29,0,2
[12:12:27.766] 30,0,1
[12:12:27.768] 31,0,3
[12:12:27.771] 32,0,2
[12:12:27.774] 33,2,0
[12:12:27.777] 34,12,0
[12:12:27.781] 35,24,2
[12:12:27.784] 36,31,3
[12:12:27.786] 37,41,1
[12:12:27.788] 38,61,0
[12:12:27.789] 39,78,0
[12:12:27.791] 40,94,7
[12:12:27.795] 41,98,2
[12:12:27.798] 42,102,0
[12:12:27.801] 43,95,0
[12:12:27.804] 44,80,0
[12:12:27.810] 45,74,2
[12:12:27.810] 46,72,1
[12:12:27.811] 47,60,3
[12:12:27.831] 48,53,3
[12:12:27.833] 49,28,2
[12:12:27.835] 50,18,5
[12:12:27.838] 51,0,2
[12:12:27.841] 52,0,2
[12:12:27.844] 53,0,2
[12:12:27.848] 54,0,2
[12:12:27.848] 55,0,2
[12:12:27.851] 56,0,2
[12:12:27.854] 57,0,0
[12:12:27.858] 58,0,1
[12:12:27.861] 59,0,5
[12:12:27.864] 60,0,5
[12:12:27.866] 61,0,5
[12:12:27.869] 62,0,4
[12:12:27.871] 63,0,2
[12:12:27.874] 64,5,3
[12:12:27.876] 65,4,0
[12:12:27.879] 66,18,5
[12:12:27.883] 67,30,5
[12:12:27.885] 68,46,4
[12:12:27.888] 69,58,5
[12:12:27.890] 70,72,4
[12:12:27.894] 71,78,4
[12:12:27.897] 72,85,2
[12:12:27.899] 73,80,4
[12:12:27.903] 74,78,2
[12:12:27.905] 75,75,0
[12:12:27.913] 76,59,5
[12:12:27.913] 77,52,2
[12:12:27.914] 78,40,2
[12:12:27.931] 79,39,2
[12:12:27.931] 80,15,2
[12:12:27.932] 81,7,2
[12:12:27.936] 82,0,2
[12:12:27.939] 83,0,2
[12:12:27.943] 84,0,2
[12:12:27.944] 85,0,2
[12:12:27.950] 86,0,2
[12:12:27.951] 87,0,2
[12:12:27.952] 88,0,2
[12:12:27.955] 89,0,3
[12:12:27.958] 90,0,2
[12:12:27.960] 91,0,0
