
=== Session started 2026-07-11T10:38:47.152252 (192.168.1.168:23) ===
[10:38:47.157] [dev] eDrum telnet console
[10:39:20.186] [DBG] hit output OFF (quiet)
[10:39:21.664] [DBG] hit output ON
[10:39:38.794] [SCOPE] Active: input=0 floor=15
[10:39:44.462] [HIT] t=1583437 i=0 note=38 vel=35 raw=35 truepeak=909 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=698.0 dchead=12.2 spikerej=98 rcstate=2 lcp=909 refrise=1
[10:39:44.467] [SysEx TX] F0 00 7D 00 05 03 00 00 23 23 F7
[10:39:44.473] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=1230 rim_peak=66 decision=HEAD samples=200
[10:39:45.277] T,H,R
[10:39:45.286] 173,604,26
[10:39:45.286] 174,628,10
[10:39:45.286] 175,651,33
[10:39:45.286] 176,666,16
[10:39:45.286] 177,608,18
[10:39:45.286] 178,516,8
[10:39:45.286] 179,438,21
[10:39:45.286] 180,334,30
[10:39:45.286] 181,204,19
[10:39:45.286] 182,31,15
[10:39:45.286] 183,0,1
[10:39:45.286] 184,0,1
[10:39:45.286] 185,0,4
[10:39:45.286] 186,0,1
[10:39:45.286] 187,41,20
[10:39:45.286] 188,128,14
[10:39:45.286] 189,249,22
[10:39:45.287] 190,340,23
[10:39:45.287] 191,367,2
[10:39:45.287] 192,366,12
[10:39:45.287] 193,374,0
[10:39:45.287] 194,380,12
[10:39:45.287] 195,432,24
[10:39:45.287] 196,470,30
[10:39:45.287] 197,480,34
[10:39:45.287] 198,493,19
[10:39:45.287] 199,518,19
[10:39:45.287] [RCEXIT] t=1584196 i=0 exit=2 lcp=210 dur=1ms margin=30
[10:39:45.287] [HIT] t=1584202 i=0 note=38 vel=22 raw=22 truepeak=559 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=155.0 dchead=27.3 spikerej=99 rcstate=2 lcp=559 refrise=1
[10:39:45.287] [SysEx TX] F0 00 7D 00 05 03 00 00 16 16 F7
[10:39:45.287] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=1230 rim_peak=66 decision=HEAD samples=200
[10:39:45.287] T,H,R
[10:39:45.287] 0,467,7
