
=== Session started 2026-07-11T10:43:21.337518 (192.168.1.168:23) ===
[10:43:21.341] [dev] eDrum telnet console
[10:43:27.956] [HIT] t=1806939 i=0 note=38 vel=12 raw=12 truepeak=321 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=152.0 dchead=6.4 spikerej=108 rcstate=2 lcp=321 refrise=0
[10:43:27.966] [SysEx TX] F0 00 7D 00 05 03 00 00 0C 0C F7
[10:43:27.969] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=358 rim_peak=23 decision=HEAD samples=200
[10:43:27.981] T,H,R
[10:43:28.553] 178,54,16
[10:43:28.554] 179,30,5
[10:43:28.554] 180,41,5
[10:43:28.556] 181,45,3
[10:43:28.559] 182,59,10
[10:43:28.562] 183,80,6
[10:43:28.566] 184,110,10
[10:43:28.568] 185,110,3
[10:43:28.570] 186,93,3
[10:43:28.574] 187,72,6
[10:43:28.576] 188,57,7
[10:43:28.582] 189,33,17
[10:43:28.583] 190,34,8
[10:43:28.583] 191,35,6
[10:43:28.592] 192,45,2
[10:43:28.593] 193,70,3
[10:43:28.593] 194,76,5
[10:43:28.594] 195,78,10
[10:43:28.619] 196,85,9
[10:43:28.619] 197,85,7
[10:43:28.620] 198,54,6
[10:43:28.628] 199,63,7
[10:43:28.631] [RCEXIT] t=1807615 i=0 exit=0 lcp=50 dur=1ms margin=30
[10:43:28.645] [HIT] t=1807621 i=0 note=38 vel=1 raw=1 truepeak=42 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=-4.0 dchead=7.9 spikerej=108 rcstate=2 lcp=42 refrise=0
[10:43:28.663] [SysEx TX] F0 00 7D 00 05 03 00 00 01 01 F7
[10:43:28.663] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=221 rim_peak=23 decision=HEAD samples=200
[10:43:28.670] T,H,R
[10:43:28.671] 0,205,10
[10:43:28.674] 1,207,23
[10:43:28.684] 2,206,10
[10:43:28.685] 3,203,7
[10:43:28.686] 4,184,2
[10:43:28.687] 5,175,3
[10:43:28.709] 6,182,10
[10:43:28.710] 7,166,10
[10:43:28.710] 8,153,17
[10:43:28.711] 9,158,10
[10:43:28.716] 10,175,16
[10:43:28.717] 11,208,20
[10:43:28.723] 12,221,8
[10:43:28.723] 13,217,9
[10:43:28.727] 14,174,8
[10:43:28.728] 15,118,2
[10:43:28.730] 16,77,4
[10:43:28.735] 17,57,7
[10:43:28.736] 18,63,8
[10:43:28.738] 19,80,18
[10:43:28.741] 20,128,23
[10:43:28.745] 21,158,12
[10:43:28.747] 22,187,7
[10:43:28.750] 23,176,3
[10:43:28.754] 24,158,1
[10:43:28.761] 25,125,16
[10:43:28.761] 26,102,18
[10:43:28.761] 27,97,12
[10:43:28.763] 28,93,12
[10:43:28.767] 29,93,5
[10:43:28.770] 30,91,8
[10:43:28.774] 31,82,3
[10:43:28.777] 32,86,4
[10:43:28.779] 33,86,3
[10:43:28.782] 34,103,7
[10:43:28.788] 35,108,10
[10:43:28.789] 36,113,12
[10:43:28.797] 37,105,10
[10:43:28.799] 38,102,5
[10:43:28.799] 39,110,2
[10:43:28.799] 40,107,0
[10:43:28.808] 41,105,8
[10:43:28.811] 42,104,5
[10:43:28.815] 43,77,10
[10:43:28.817] 44,54,16
[10:43:28.821] 45,30,5
[10:43:28.823] 46,41,5
[10:43:28.829] 47,45,3
[10:43:28.830] 48,59,10
[10:43:28.832] 49,80,6
[10:43:28.832] 50,110,10
[10:43:28.837] 51,110,3
[10:43:28.838] 52,93,3
[10:43:28.842] 53,72,6
[10:43:28.845] 54,57,7
[10:43:28.848] 55,33,17
[10:43:28.850] 56,34,8
[10:43:28.853] 57,35,6
[10:43:28.856] 58,45,2
[10:43:28.863] 59,70,3
[10:43:28.863] 60,76,5
[10:43:28.864] 61,78,10
[10:43:28.866] 62,85,9
[10:43:28.869] 63,85,7
[10:43:28.872] 64,54,6
[10:43:28.875] 65,63,7
[10:43:28.878] 66,72,7
[10:43:28.881] 67,70,8
[10:43:28.883] 68,58,9
[10:43:28.890] 69,54,3
[10:43:28.890] 70,55,2
[10:43:28.890] 71,43,4
[10:43:28.899] 72,41,8
[10:43:28.900] 73,39,3
[10:43:28.900] 74,28,11
[10:43:28.901] 75,37,10
[10:43:28.914] 76,46,7
[10:43:28.914] 77,62,11
[10:43:28.915] 78,58,0
[10:43:28.915] 79,52,16
[10:43:28.925] 80,58,10
[10:43:28.926] 81,49,7
[10:43:28.931] 82,25,10
[10:43:28.935] 83,21,8
[10:43:28.937] 84,31,3
[10:43:28.938] 85,50,2
[10:43:28.939] 86,45,7
[10:43:28.943] 87,57,3
[10:43:28.946] 88,44,2
[10:43:28.948] 89,35,3
[10:43:28.951] 90,33,5
[10:43:28.954] 91,44,8
[10:43:28.957] 92,49,2
[10:43:28.965] 93,53,7
[10:43:28.966] 94,55,11
[10:43:28.966] 95,43,3
[10:43:28.967] 96,31,8
[10:43:28.970] 97,16,2
[10:43:28.973] 98,21,10
[10:43:28.979] 99,26,5
[10:43:28.979] 100,32,6
[10:43:28.981] 101,30,8
[10:43:28.983] 102,31,0
[10:43:28.987] 103,42,3
[10:43:28.992] 104,31,5
[10:43:28.992] 105,36,0
[10:43:28.994] 106,30,6
[10:43:29.002] 107,35,3
