
=== Session started 2026-07-06T19:48:00.476344 (192.168.1.168:23) ===
[19:48:00.482] [dev] eDrum telnet console
[19:48:08.636] [HIT] t=1921434 i=0 note=38 vel=127 raw=127 truepeak=4089 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=621.0 dchead=25.3 spikerej=2751
[19:48:08.641] [SysEx TX] F0 00 7D 00 05 03 00 00 7F 7F F7
[19:48:08.644] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=1392 decision=HEAD samples=200
[19:48:08.646] T,H,R
[19:48:09.180] 176,4095,0
[19:48:09.184] 177,3990,0
[19:48:09.187] 178,3240,0
[19:48:09.188] 179,2607,0
[19:48:09.191] 180,1742,0
[19:48:09.195] 181,681,6
[19:48:09.197] 182,0,17
[19:48:09.202] 183,0,63
[19:48:09.203] 184,0,139
[19:48:09.204] 185,0,227
[19:48:09.207] 186,0,388
[19:48:09.209] 187,0,438
[19:48:09.216] 188,0,424
[19:48:09.216] 189,0,476
[19:48:09.217] 190,0,611
[19:48:09.220] 191,0,756
[19:48:09.223] 192,0,709
[19:48:09.226] 193,238,540
[19:48:09.229] 194,1422,422
[19:48:09.232] 195,3369,402
[19:48:09.234] 196,4095,306
[19:48:09.237] 197,4095,329
[19:48:09.239] 198,4095,499
[19:48:09.249] 199,4095,436
[19:48:09.251] [HIT] t=1922051 i=0 note=38 vel=127 raw=127 truepeak=4065 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=-178.0 dchead=178.3 spikerej=2895
[19:48:09.259] [SysEx TX] F0 00 7D 00 05 03 00 00 7F 7F F7
[19:48:09.262] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=1392 decision=HEAD samples=200
[19:48:09.265] T,H,R
