
=== Session started 2026-07-06T19:48:00.476344 (192.168.1.168:23) ===
[19:48:00.482] [dev] eDrum telnet console
[19:48:08.636] [HIT] t=1921434 i=0 note=38 vel=127 raw=127 truepeak=4089 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=621.0 dchead=25.3 spikerej=2751
[19:48:08.641] [SysEx TX] F0 00 7D 00 05 03 00 00 7F 7F F7
[19:48:08.644] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=1392 decision=HEAD samples=200
[19:48:08.646] T,H,R
[19:48:10.687] 77,334,0
[19:48:10.687] 78,286,2
[19:48:10.693] 79,227,1
[19:48:10.697] 80,155,5
[19:48:10.698] 81,89,5
[19:48:10.702] 82,13,4
[19:48:10.704] 83,0,5
[19:48:10.707] 84,0,10
[19:48:10.709] 85,0,10
[19:48:10.720] 86,0,18
[19:48:10.720] 87,0,20
[19:48:10.720] 88,0,19
[19:48:10.721] 89,0,19
[19:48:10.725] 90,0,22
[19:48:10.728] 91,0,22
[19:48:10.731] 92,0,20
[19:48:10.734] 93,7,20
[19:48:10.741] 94,64,20
[19:48:10.742] 95,118,20
[19:48:10.743] 96,181,19
[19:48:10.744] 97,237,14
[19:48:10.748] 98,315,24
[19:48:10.752] 99,401,31
[19:48:10.752] 100,484,18
[19:48:10.757] 101,563,17
[19:48:10.757] 102,636,11
[19:48:10.759] 103,694,11
[19:48:10.763] 104,744,10
[19:48:10.766] 105,769,9
[19:48:10.769] 106,760,6
[19:48:10.772] 107,745,4
[19:48:10.774] 108,707,3
[19:48:10.778] 109,654,3
[19:48:10.792] 110,595,7
[19:48:10.793] 111,539,4
[19:48:10.793] 112,489,4
[19:48:10.796] 113,430,4
[19:48:10.799] 114,376,7
[19:48:10.802] 115,326,9
[19:48:10.805] 116,265,6
[19:48:10.808] 117,199,10
[19:48:10.810] 118,145,10
[19:48:10.813] 119,89,14
[19:48:10.816] 120,35,7
[19:48:10.821] 121,4,13
[19:48:10.826] 122,0,14
[19:48:10.826] 123,0,13
[19:48:10.828] 124,0,17
[19:48:10.830] 125,0,18
[19:48:10.833] 126,0,20
[19:48:10.836] 127,0,25
[19:48:10.843] 128,0,15
[19:48:10.843] 129,0,18
[19:48:10.844] 130,0,11
[19:48:10.848] 131,0,18
[19:48:10.849] 132,0,20
[19:48:10.854] 133,0,13
[19:48:10.854] 134,0,16
[19:48:10.859] 135,0,18
[19:48:10.860] 136,20,8
[19:48:10.862] 137,64,6
[19:48:10.865] 138,118,4
[19:48:10.868] 139,177,4
[19:48:10.870] 140,226,4
[19:48:10.873] 141,273,9
[19:48:10.876] 142,312,5
[19:48:10.883] 143,356,2
[19:48:10.892] 144,405,1
[19:48:10.892] 145,439,0
[19:48:10.893] 146,472,0
[19:48:10.895] 147,502,0
[19:48:10.899] 148,526,0
[19:48:10.901] 149,539,0
[19:48:10.904] 150,534,0
[19:48:10.908] 151,516,0
[19:48:10.909] 152,479,0
[19:48:10.913] 153,440,0
[19:48:10.915] 154,384,1
[19:48:10.918] 155,339,0
[19:48:10.921] 156,271,1
[19:48:10.924] 157,189,1
[19:48:10.929] 158,121,1
[19:48:10.930] 159,40,2
[19:48:10.932] 160,0,2
[19:48:10.935] 161,0,2
[19:48:10.938] 162,0,5
[19:48:10.942] 163,0,0
[19:48:10.944] 164,0,9
[19:48:10.946] 165,0,10
[19:48:10.949] 166,0,12
[19:48:10.956] 167,0,18
[19:48:10.957] 168,0,18
[19:48:10.958] 169,0,21
[19:48:10.959] 170,0,10
[19:48:10.963] 171,0,17
[19:48:10.966] 172,4,12
[19:48:10.969] 173,49,16
[19:48:10.971] 174,105,11
[19:48:10.974] 175,169,11
[19:48:10.977] 176,217,10
[19:48:10.980] 177,273,10
[19:48:10.989] 178,313,8
[19:48:10.989] 179,374,0
[19:48:10.991] 180,417,10
[19:48:10.992] 181,443,4
[19:48:10.997] 182,463,6
[19:48:10.999] 183,489,3
[19:48:11.002] 184,498,8
[19:48:11.005] 185,491,2
[19:48:11.008] 186,486,1
[19:48:11.011] 187,472,0
[19:48:11.014] 188,448,1
[19:48:11.016] 189,437,0
[19:48:11.019] 190,399,0
[19:48:11.022] 191,383,1
[19:48:11.025] 192,358,0
[19:48:11.029] 193,331,1
[19:48:11.030] 194,308,0
[19:48:11.033] 195,280,1
[19:48:11.035] 196,246,1
[19:48:11.038] 197,210,2
[19:48:11.041] 198,189,2
[19:48:11.046] 199,143,2
=== Session ended 2026-07-06T19:48:12.995305 ===
