
=== Session started 2026-07-06T19:28:48.091126 (192.168.1.168:23) ===
[19:28:48.092] [dev] eDrum telnet console
[19:28:59.640] [SCOPE] Active: input=0 floor=15
[19:29:05.021] [RIM] t=777803 i=0 note=40 vel=6 raw=6 truepeak=316 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=2890.0 dchead=19.9 spikerej=1582
[19:29:05.037] [SysEx TX] F0 00 7D 00 05 03 00 01 06 06 F7
[19:29:05.038] [SCOPE] input=0 pad_type=0 head_ch=1 rim_ch=0 head_peak=4095 rim_peak=1505 decision=RIM samples=200
[19:29:05.039] T,H,R
[19:29:07.296] 115,354,0
[19:29:07.298] 116,271,0
[19:29:07.302] 117,182,0
[19:29:07.304] 118,77,0
[19:29:07.314] 119,0,2
[19:29:07.314] 120,0,0
[19:29:07.314] 121,0,4
[19:29:07.315] 122,0,6
[19:29:07.320] 123,0,4
[19:29:07.324] 124,0,7
[19:29:07.325] 125,0,16
[19:29:07.327] 126,0,7
[19:29:07.330] 127,0,7
[19:29:07.335] 128,0,8
[19:29:07.336] 129,0,17
[19:29:07.338] 130,33,8
[19:29:07.344] 131,121,9
[19:29:07.345] 132,179,22
[19:29:07.346] 133,246,10
[19:29:07.352] 134,328,18
[19:29:07.353] 135,425,17
[19:29:07.354] 136,512,16
[19:29:07.356] 137,610,12
[19:29:07.360] 138,687,7
[19:29:07.362] 139,761,8
[19:29:07.365] 140,806,5
[19:29:07.368] 141,828,14
[19:29:07.372] 142,832,5
[19:29:07.374] 143,823,7
[19:29:07.378] 144,782,7
[19:29:07.380] 145,736,3
[19:29:07.383] 146,689,0
[19:29:07.392] 147,621,4
[19:29:07.392] 148,559,0
[19:29:07.393] 149,505,2
[19:29:07.397] 150,453,3
[19:29:07.399] 151,381,5
[19:29:07.401] 152,314,8
[19:29:07.405] 153,240,6
[19:29:07.407] 154,180,7
[19:29:07.415] 155,111,12
[19:29:07.415] 156,73,10
[19:29:07.415] 157,41,10
[19:29:07.416] 158,14,18
[19:29:07.420] 159,5,20
[19:29:07.426] 160,0,23
[19:29:07.427] 161,0,24
[19:29:07.428] 162,0,26
[19:29:07.432] 163,0,23
[19:29:07.434] 164,0,26
[19:29:07.437] 165,0,25
[19:29:07.441] 166,0,26
[19:29:07.445] 167,0,29
[19:29:07.446] 168,0,28
[19:29:07.449] 169,0,30
[19:29:07.451] 170,0,29
[19:29:07.456] 171,0,24
[19:29:07.456] 172,0,15
[19:29:07.458] 173,20,22
[19:29:07.461] 174,57,20
[19:29:07.465] 175,93,19
[19:29:07.467] 176,148,12
[19:29:07.470] 177,200,9
[19:29:07.473] 178,262,10
[19:29:07.476] 179,316,4
[19:29:07.479] 180,380,10
[19:29:07.482] 181,441,5
[19:29:07.484] 182,486,0
[19:29:07.489] 183,537,3
[19:29:07.495] 184,566,2
[19:29:07.498] 185,574,0
[19:29:07.498] 186,584,2
[19:29:07.501] 187,569,1
[19:29:07.504] 188,551,0
[19:29:07.507] 189,513,0
[19:29:07.510] 190,458,0
[19:29:07.513] 191,405,0
[19:29:07.518] 192,341,0
[19:29:07.521] 193,264,0
[19:29:07.521] 194,187,1
[19:29:07.523] 195,98,4
[19:29:07.526] 196,8,0
[19:29:07.529] 197,0,1
[19:29:07.532] 198,0,3
[19:29:07.534] 199,0,3
=== Session ended 2026-07-06T19:29:12.151028 ===
